year,Frank (F),Frank (M)
1880,0.000065,0.016091
1881,0.000047,0.014707
1882,0.000050,0.014336
1883,0.000078,0.013764
1884,0.000086,0.013218
1885,0.000075,0.012734
1886,0.000086,0.012248
1887,0.000077,0.011654
1888,0.000070,0.011550
1889,0.000059,0.010296
1890,0.000113,0.010212
1891,0.000077,0.009251
1892,0.000075,0.009421
1893,0.000061,0.008969
1894,0.000056,0.008453
1895,0.000077,0.008581
1896,0.000048,0.007958
1897,0.000049,0.007857
1898,0.000050,0.007668
1899,0.000062,0.007517
1900,0.000042,0.007722
1901,0.000061,0.006946
1902,0.000044,0.007126
1903,0.000047,0.006936
1904,0.000055,0.006937
1905,0.000052,0.006692
1906,0.000035,0.006530
1907,0.000043,0.006324
1908,0.000045,0.006438
1909,0.000035,0.006346
1910,0.000036,0.006379
1911,0.000045,0.006696
1912,0.000029,0.008008
1913,0.000032,0.008123
1914,0.000032,0.008474
1915,0.000034,0.008189
1916,0.000043,0.007905
1917,0.000049,0.007858
1918,0.000033,0.007838
1919,0.000040,0.007441
1920,0.000029,0.007261
1921,0.000038,0.007157
1922,0.000034,0.006995
1923,0.000037,0.006908
1924,0.000039,0.006735
1925,0.000042,0.006569
1926,0.000041,0.006313
1927,0.000047,0.006200
1928,0.000047,0.006001
1929,0.000059,0.005914
1930,0.000040,0.005639
1931,0.000040,0.005453
1932,0.000032,0.005446
1933,0.000037,0.005482
1934,0.000026,0.005121
1935,0.000026,0.004986
1936,0.000025,0.004903
1937,0.000024,0.004753
1938,0.000017,0.004637
1939,0.000025,0.004533
1940,0.000016,0.004602
1941,0.000014,0.004431
1942,0.000016,0.004483
1943,0.000016,0.004339
1944,0.000015,0.004217
1945,0.000011,0.004099
1946,0.000016,0.003964
1947,0.000013,0.003886
1948,0.000009,0.003677
1949,0.000012,0.003432
1950,0.000009,0.003314
1951,0.000012,0.003114
1952,0.000007,0.002968
1953,0.000007,0.002902
1954,0.000010,0.002763
1955,0.000006,0.002766
1956,0.000011,0.002704
1957,0.000010,0.002682
1958,0.000013,0.002740
1959,0.000012,0.002632
1960,0.000009,0.002588
1961,0.000009,0.002519
1962,0.000010,0.002419
1963,0.000011,0.002406
1964,0.000008,0.002402
1965,0.000008,0.002295
1966,0.000008,0.002242
1967,0.000013,0.002188
1968,0.000014,0.002041
1969,0.000013,0.001992
1970,0.000014,0.001886
1971,0.000010,0.001774
1972,0.000014,0.001646
1973,0.000014,0.001587
1974,0.000014,0.001436
1975,0.000012,0.001395
1976,0.000010,0.001286
1977,0.000010,0.001227
1978,0.000009,0.001189
1979,0.000010,0.001182
1980,0.000008,0.001085
1981,0.000008,0.001052
1982,0.000008,0.001028
1983,0.000008,0.000971
1984,0.000008,0.000954
1985,0.000008,0.000925
1986,0.000009,0.000894
1987,0.000008,0.000867
1988,0.000005,0.000885
1989,0.000006,0.000795
1990,0.000003,0.000806
1991,0.000003,0.000739
1992,0.000002,0.000717
1993,0.000005,0.000664
1994,0.000003,0.000667
1995,0.000005,0.000613
1996,0.000002,0.000589
1997,0.000002,0.000558
1998,0.000000,0.000513
1999,0.000000,0.000502
2000,0.000000,0.000452
2001,0.000000,0.000437
2002,0.000000,0.000425
2003,0.000000,0.000395
2004,0.000000,0.000384
2005,0.000000,0.000385
2006,0.000000,0.000354
2007,0.000001,0.000333
2008,0.000000,0.000313
2009,0.000000,0.000298
2010,0.000000,0.000292
2011,0.000000,0.000287
2012,0.000000,0.000270
2013,0.000000,0.000277
2014,0.000000,0.000267
2015,0.000000,0.000255
2016,0.000000,0.000261
2017,0.000000,0.000249
2018,0.000000,0.000229
2019,0.000000,0.000223
2020,0.000000,0.000209
