year,Fernando (F),Fernando (M)
1880,0.000000,0.000040
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000028
1884,0.000000,0.000041
1885,0.000000,0.000037
1886,0.000000,0.000035
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000000
1894,0.000000,0.000024
1895,0.000000,0.000014
1896,0.000000,0.000017
1897,0.000000,0.000023
1898,0.000000,0.000013
1899,0.000000,0.000024
1900,0.000000,0.000027
1901,0.000000,0.000017
1902,0.000000,0.000028
1903,0.000000,0.000016
1904,0.000000,0.000040
1905,0.000000,0.000000
1906,0.000000,0.000014
1907,0.000000,0.000013
1908,0.000000,0.000025
1909,0.000000,0.000031
1910,0.000000,0.000039
1911,0.000000,0.000028
1912,0.000000,0.000034
1913,0.000000,0.000026
1914,0.000000,0.000038
1915,0.000000,0.000031
1916,0.000000,0.000030
1917,0.000000,0.000040
1918,0.000000,0.000039
1919,0.000000,0.000039
1920,0.000000,0.000042
1921,0.000000,0.000056
1922,0.000000,0.000052
1923,0.000000,0.000059
1924,0.000000,0.000064
1925,0.000000,0.000069
1926,0.000000,0.000059
1927,0.000000,0.000082
1928,0.000000,0.000065
1929,0.000000,0.000068
1930,0.000000,0.000078
1931,0.000000,0.000084
1932,0.000003,0.000062
1933,0.000000,0.000066
1934,0.000000,0.000064
1935,0.000000,0.000061
1936,0.000000,0.000058
1937,0.000000,0.000070
1938,0.000000,0.000064
1939,0.000000,0.000059
1940,0.000000,0.000071
1941,0.000000,0.000055
1942,0.000000,0.000067
1943,0.000000,0.000058
1944,0.000000,0.000067
1945,0.000000,0.000083
1946,0.000000,0.000069
1947,0.000000,0.000074
1948,0.000000,0.000090
1949,0.000000,0.000077
1950,0.000000,0.000098
1951,0.000001,0.000111
1952,0.000001,0.000111
1953,0.000000,0.000138
1954,0.000000,0.000145
1955,0.000000,0.000133
1956,0.000000,0.000124
1957,0.000000,0.000127
1958,0.000000,0.000127
1959,0.000002,0.000147
1960,0.000001,0.000140
1961,0.000000,0.000147
1962,0.000001,0.000156
1963,0.000001,0.000151
1964,0.000000,0.000159
1965,0.000000,0.000151
1966,0.000001,0.000173
1967,0.000001,0.000173
1968,0.000002,0.000192
1969,0.000001,0.000196
1970,0.000000,0.000213
1971,0.000000,0.000239
1972,0.000000,0.000250
1973,0.000003,0.000267
1974,0.000004,0.000276
1975,0.000004,0.000302
1976,0.000003,0.000291
1977,0.000004,0.000357
1978,0.000003,0.000340
1979,0.000003,0.000340
1980,0.000004,0.000366
1981,0.000006,0.000358
1982,0.000003,0.000390
1983,0.000005,0.000370
1984,0.000005,0.000368
1985,0.000004,0.000361
1986,0.000005,0.000372
1987,0.000005,0.000334
1988,0.000003,0.000368
1989,0.000004,0.000411
1990,0.000005,0.000438
1991,0.000005,0.000487
1992,0.000005,0.000489
1993,0.000006,0.000477
1994,0.000008,0.000493
1995,0.000005,0.000511
1996,0.000003,0.000515
1997,0.000003,0.000639
1998,0.000002,0.000559
1999,0.000003,0.000589
2000,0.000002,0.000689
2001,0.000003,0.000695
2002,0.000004,0.000649
2003,0.000002,0.000672
2004,0.000005,0.000675
2005,0.000003,0.000635
2006,0.000002,0.000698
2007,0.000003,0.000673
2008,0.000001,0.000607
2009,0.000002,0.000557
2010,0.000002,0.000529
2011,0.000001,0.000467
2012,0.000002,0.000406
2013,0.000000,0.000395
