year,Nicolas (F),Nicolas (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000037
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000021
1895,0.000000,0.000000
1896,0.000000,0.000017
1897,0.000000,0.000000
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000022
1905,0.000000,0.000017
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000025
1909,0.000000,0.000023
1910,0.000000,0.000024
1911,0.000000,0.000014
1912,0.000000,0.000022
1913,0.000000,0.000028
1914,0.000000,0.000030
1915,0.000000,0.000031
1916,0.000000,0.000014
1917,0.000000,0.000032
1918,0.000000,0.000021
1919,0.000000,0.000026
1920,0.000000,0.000031
1921,0.000000,0.000032
1922,0.000000,0.000032
1923,0.000000,0.000030
1924,0.000000,0.000040
1925,0.000000,0.000036
1926,0.000000,0.000027
1927,0.000000,0.000028
1928,0.000000,0.000034
1929,0.000000,0.000036
1930,0.000000,0.000034
1931,0.000000,0.000033
1932,0.000002,0.000033
1933,0.000000,0.000025
1934,0.000000,0.000027
1935,0.000000,0.000027
1936,0.000000,0.000022
1937,0.000000,0.000026
1938,0.000000,0.000024
1939,0.000000,0.000015
1940,0.000000,0.000026
1941,0.000000,0.000023
1942,0.000000,0.000021
1943,0.000000,0.000022
1944,0.000000,0.000023
1945,0.000000,0.000026
1946,0.000000,0.000025
1947,0.000000,0.000024
1948,0.000000,0.000019
1949,0.000000,0.000027
1950,0.000000,0.000027
1951,0.000000,0.000030
1952,0.000000,0.000028
1953,0.000000,0.000026
1954,0.000000,0.000027
1955,0.000000,0.000022
1956,0.000000,0.000025
1957,0.000000,0.000024
1958,0.000000,0.000027
1959,0.000000,0.000030
1960,0.000000,0.000032
1961,0.000000,0.000026
1962,0.000000,0.000028
1963,0.000000,0.000031
1964,0.000000,0.000034
1965,0.000000,0.000038
1966,0.000000,0.000035
1967,0.000000,0.000051
1968,0.000000,0.000050
1969,0.000000,0.000052
1970,0.000000,0.000062
1971,0.000000,0.000062
1972,0.000000,0.000065
1973,0.000000,0.000083
1974,0.000000,0.000074
1975,0.000000,0.000102
1976,0.000000,0.000101
1977,0.000000,0.000137
1978,0.000000,0.000252
1979,0.000002,0.000273
1980,0.000003,0.000246
1981,0.000000,0.000259
1982,0.000000,0.000254
1983,0.000003,0.000273
1984,0.000002,0.000275
1985,0.000003,0.000280
1986,0.000002,0.000274
1987,0.000003,0.000283
1988,0.000004,0.000326
1989,0.000002,0.000398
1990,0.000002,0.000416
1991,0.000003,0.000408
1992,0.000003,0.000468
1993,0.000001,0.000483
1994,0.000000,0.000525
1995,0.000002,0.000548
1996,0.000000,0.000630
1997,0.000001,0.000670
1998,0.000000,0.000794
1999,0.000000,0.000748
2000,0.000001,0.000753
2001,0.000002,0.000755
2002,0.000000,0.000752
2003,0.000002,0.000790
2004,0.000002,0.000752
2005,0.000000,0.000771
2006,0.000001,0.000743
2007,0.000002,0.000709
2008,0.000000,0.000683
2009,0.000000,0.000652
2010,0.000000,0.000648
2011,0.000000,0.000613
2012,0.000000,0.000583
2013,0.000000,0.000585
2014,0.000000,0.000561
2015,0.000000,0.000540
2016,0.000000,0.000568
2017,0.000001,0.000536
2018,0.000000,0.000598
2019,0.000000,0.000619
2020,0.000000,0.000567
