year,Nancy (F),Nancy (M)
1880,0.002040,0.000000
1881,0.002226,0.000000
1882,0.001982,0.000000
1883,0.001899,0.000000
1884,0.002136,0.000000
1885,0.002188,0.000000
1886,0.001927,0.000000
1887,0.002066,0.000000
1888,0.001943,0.000000
1889,0.001627,0.000024
1890,0.001699,0.000000
1891,0.001824,0.000000
1892,0.001767,0.000000
1893,0.001654,0.000000
1894,0.001521,0.000000
1895,0.001612,0.000000
1896,0.001474,0.000000
1897,0.001594,0.000000
1898,0.001431,0.000000
1899,0.001400,0.000000
1900,0.001494,0.000000
1901,0.001501,0.000014
1902,0.001476,0.000000
1903,0.001382,0.000000
1904,0.001259,0.000000
1905,0.001262,0.000000
1906,0.001300,0.000000
1907,0.001251,0.000000
1908,0.001332,0.000000
1909,0.001193,0.000000
1910,0.001373,0.000000
1911,0.001284,0.000000
1912,0.001091,0.000009
1913,0.001135,0.000000
1914,0.001112,0.000006
1915,0.001085,0.000004
1916,0.001119,0.000000
1917,0.001201,0.000007
1918,0.001156,0.000004
1919,0.001246,0.000003
1920,0.001318,0.000003
1921,0.001423,0.000003
1922,0.001536,0.000007
1923,0.001596,0.000005
1924,0.001675,0.000006
1925,0.001853,0.000006
1926,0.001989,0.000008
1927,0.002167,0.000009
1928,0.002448,0.000010
1929,0.003136,0.000011
1930,0.004079,0.000011
1931,0.004769,0.000018
1932,0.005186,0.000021
1933,0.005938,0.000023
1934,0.006510,0.000023
1935,0.006961,0.000022
1936,0.008067,0.000030
1937,0.008012,0.000040
1938,0.008565,0.000041
1939,0.008953,0.000034
1940,0.008570,0.000031
1941,0.008572,0.000026
1942,0.008541,0.000024
1943,0.008501,0.000024
1944,0.008629,0.000023
1945,0.008088,0.000023
1946,0.008872,0.000020
1947,0.009006,0.000016
1948,0.008518,0.000012
1949,0.008394,0.000009
1950,0.008454,0.000019
1951,0.008242,0.000013
1952,0.008353,0.000017
1953,0.007947,0.000012
1954,0.007605,0.000014
1955,0.007479,0.000013
1956,0.006983,0.000012
1957,0.006550,0.000014
1958,0.006005,0.000012
1959,0.005554,0.000013
1960,0.005271,0.000013
1961,0.005003,0.000011
1962,0.004467,0.000013
1963,0.004108,0.000011
1964,0.003779,0.000009
1965,0.003379,0.000012
1966,0.003372,0.000008
1967,0.003024,0.000010
1968,0.002651,0.000011
1969,0.002272,0.000011
1970,0.001958,0.000007
1971,0.001811,0.000009
1972,0.001534,0.000006
1973,0.001307,0.000004
1974,0.001280,0.000006
1975,0.001163,0.000006
1976,0.001081,0.000004
1977,0.001015,0.000008
1978,0.000960,0.000007
1979,0.000861,0.000008
1980,0.000814,0.000006
1981,0.000841,0.000006
1982,0.000800,0.000008
1983,0.000728,0.000007
1984,0.000713,0.000010
1985,0.000730,0.000006
1986,0.000683,0.000006
1987,0.000620,0.000009
1988,0.000635,0.000005
1989,0.000609,0.000010
1990,0.000604,0.000007
1991,0.000642,0.000007
1992,0.000569,0.000006
1993,0.000527,0.000004
1994,0.000589,0.000004
1995,0.000546,0.000003
1996,0.000500,0.000000
1997,0.000420,0.000002
1998,0.000402,0.000001
1999,0.000383,0.000002
2000,0.000364,0.000002
2001,0.000379,0.000002
2002,0.000364,0.000000
2003,0.000310,0.000002
2004,0.000299,0.000001
2005,0.000264,0.000000
2006,0.000257,0.000000
2007,0.000225,0.000000
2008,0.000218,0.000000
2009,0.000174,0.000000
2010,0.000155,0.000000
2011,0.000147,0.000000
2012,0.000120,0.000000
