year,Joanne (F),Joanne (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000017,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000018,0.000000
1894,0.000000,0.000000
1895,0.000014,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000021,0.000000
1903,0.000024,0.000000
1904,0.000020,0.000000
1905,0.000033,0.000000
1906,0.000000,0.000000
1907,0.000041,0.000000
1908,0.000039,0.000000
1909,0.000031,0.000000
1910,0.000047,0.000000
1911,0.000037,0.000000
1912,0.000035,0.000000
1913,0.000046,0.000000
1914,0.000039,0.000000
1915,0.000046,0.000000
1916,0.000061,0.000000
1917,0.000057,0.000000
1918,0.000079,0.000000
1919,0.000068,0.000000
1920,0.000092,0.000000
1921,0.000100,0.000000
1922,0.000108,0.000000
1923,0.000149,0.000000
1924,0.000199,0.000000
1925,0.000273,0.000000
1926,0.000411,0.000000
1927,0.000499,0.000000
1928,0.000730,0.000004
1929,0.001139,0.000000
1930,0.001418,0.000004
1931,0.001786,0.000005
1932,0.001768,0.000006
1933,0.001861,0.000008
1934,0.002188,0.000009
1935,0.002184,0.000009
1936,0.002073,0.000008
1937,0.002034,0.000010
1938,0.001921,0.000005
1939,0.001917,0.000009
1940,0.001920,0.000007
1941,0.001915,0.000003
1942,0.001955,0.000008
1943,0.001867,0.000004
1944,0.001683,0.000004
1945,0.001741,0.000006
1946,0.001722,0.000002
1947,0.001683,0.000003
1948,0.001592,0.000003
1949,0.001651,0.000003
1950,0.001568,0.000002
1951,0.001455,0.000000
1952,0.001410,0.000002
1953,0.001527,0.000001
1954,0.001364,0.000000
1955,0.001244,0.000003
1956,0.001133,0.000002
1957,0.001215,0.000003
1958,0.001434,0.000002
1959,0.001285,0.000002
1960,0.001173,0.000002
1961,0.001114,0.000000
1962,0.000994,0.000003
1963,0.000974,0.000002
1964,0.000918,0.000002
1965,0.000868,0.000003
1966,0.000784,0.000003
1967,0.000688,0.000003
1968,0.000630,0.000003
1969,0.000599,0.000003
1970,0.000541,0.000003
1971,0.000481,0.000000
1972,0.000428,0.000002
1973,0.000431,0.000000
1974,0.000413,0.000002
1975,0.000375,0.000002
1976,0.000312,0.000000
1977,0.000288,0.000002
1978,0.000231,0.000000
1979,0.000228,0.000000
1980,0.000204,0.000000
1981,0.000195,0.000000
1982,0.000180,0.000000
1983,0.000163,0.000000
1984,0.000146,0.000002
1985,0.000147,0.000002
1986,0.000129,0.000002
1987,0.000129,0.000000
1988,0.000116,0.000000
1989,0.000120,0.000000
1990,0.000106,0.000001
1991,0.000102,0.000000
1992,0.000085,0.000000
1993,0.000090,0.000000
1994,0.000077,0.000000
1995,0.000075,0.000000
1996,0.000072,0.000001
1997,0.000068,0.000000
1998,0.000064,0.000000
1999,0.000057,0.000000
2000,0.000060,0.000000
2001,0.000050,0.000000
2002,0.000046,0.000000
2003,0.000046,0.000000
2004,0.000048,0.000000
2005,0.000038,0.000000
2006,0.000035,0.000000
2007,0.000037,0.000000
2008,0.000033,0.000000
2009,0.000029,0.000000
2010,0.000028,0.000000
2011,0.000026,0.000000
2012,0.000028,0.000000
