year,Jens (F),Jens (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000037
1885,0.000000,0.000000
1886,0.000000,0.000024
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000021
1890,0.000000,0.000023
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000014
1910,0.000000,0.000008
1911,0.000000,0.000008
1912,0.000000,0.000011
1913,0.000000,0.000008
1914,0.000000,0.000008
1915,0.000000,0.000009
1916,0.000000,0.000010
1917,0.000000,0.000008
1918,0.000000,0.000014
1919,0.000000,0.000009
1920,0.000000,0.000008
1921,0.000000,0.000005
1922,0.000000,0.000009
1923,0.000000,0.000010
1924,0.000000,0.000006
1925,0.000000,0.000006
1926,0.000000,0.000007
1927,0.000000,0.000003
1928,0.000000,0.000007
1929,0.000000,0.000003
1930,0.000000,0.000008
1931,0.000000,0.000004
1932,0.000000,0.000007
1933,0.000000,0.000004
1934,0.000000,0.000006
1935,0.000000,0.000006
1936,0.000000,0.000002
1937,0.000000,0.000004
1938,0.000000,0.000003
1939,0.000000,0.000003
1940,0.000000,0.000006
1941,0.000000,0.000005
1942,0.000000,0.000005
1943,0.000000,0.000007
1944,0.000000,0.000003
1945,0.000000,0.000002
1946,0.000000,0.000004
1947,0.000000,0.000004
1948,0.000000,0.000002
1949,0.000000,0.000003
1950,0.000000,0.000005
1951,0.000000,0.000004
1952,0.000000,0.000002
1953,0.000000,0.000005
1954,0.000000,0.000004
1955,0.000000,0.000004
1956,0.000000,0.000004
1957,0.000000,0.000004
1958,0.000000,0.000005
1959,0.000000,0.000005
1960,0.000000,0.000005
1961,0.000000,0.000004
1962,0.000000,0.000003
1963,0.000000,0.000007
1964,0.000000,0.000005
1965,0.000000,0.000005
1966,0.000000,0.000011
1967,0.000000,0.000008
1968,0.000000,0.000007
1969,0.000000,0.000008
1970,0.000000,0.000007
1971,0.000000,0.000008
1972,0.000000,0.000009
1973,0.000000,0.000008
1974,0.000000,0.000011
1975,0.000000,0.000007
1976,0.000000,0.000008
1977,0.000000,0.000007
1978,0.000000,0.000008
1979,0.000000,0.000010
1980,0.000000,0.000010
1981,0.000000,0.000010
1982,0.000000,0.000011
1983,0.000000,0.000010
1984,0.000000,0.000009
1985,0.000000,0.000007
1986,0.000000,0.000010
1987,0.000000,0.000007
1988,0.000000,0.000007
1989,0.000000,0.000010
1990,0.000000,0.000007
1991,0.000000,0.000006
1992,0.000000,0.000009
1993,0.000000,0.000008
1994,0.000000,0.000008
1995,0.000000,0.000007
1996,0.000000,0.000010
1997,0.000000,0.000007
1998,0.000000,0.000008
1999,0.000000,0.000010
2000,0.000000,0.000006
2001,0.000000,0.000007
2002,0.000000,0.000005
2003,0.000000,0.000006
2004,0.000000,0.000005
2005,0.000000,0.000007
2006,0.000000,0.000005
2007,0.000000,0.000007
2008,0.000000,0.000009
2009,0.000000,0.000010
2010,0.000000,0.000007
2011,0.000000,0.000007
2012,0.000000,0.000007
2013,0.000000,0.000007
2014,0.000000,0.000007
2015,0.000000,0.000005
2016,0.000000,0.000007
2017,0.000000,0.000006
2018,0.000000,0.000005
2019,0.000000,0.000007
2020,0.000000,0.000007
