year,Jerry (F),Jerry (M)
1880,0.000000,0.000675
1881,0.000000,0.000503
1882,0.000000,0.000474
1883,0.000000,0.000493
1884,0.000000,0.000497
1885,0.000000,0.000477
1886,0.000000,0.000490
1887,0.000000,0.000396
1888,0.000000,0.000307
1889,0.000000,0.000381
1890,0.000000,0.000342
1891,0.000000,0.000373
1892,0.000000,0.000350
1893,0.000000,0.000363
1894,0.000000,0.000375
1895,0.000000,0.000291
1896,0.000000,0.000263
1897,0.000000,0.000340
1898,0.000000,0.000375
1899,0.000021,0.000327
1900,0.000033,0.000455
1901,0.000000,0.000335
1902,0.000026,0.000383
1903,0.000018,0.000294
1904,0.000020,0.000439
1905,0.000028,0.000418
1906,0.000040,0.000341
1907,0.000032,0.000355
1908,0.000041,0.000405
1909,0.000031,0.000376
1910,0.000056,0.000425
1911,0.000057,0.000369
1912,0.000044,0.000410
1913,0.000038,0.000434
1914,0.000038,0.000458
1915,0.000044,0.000437
1916,0.000058,0.000457
1917,0.000051,0.000429
1918,0.000064,0.000454
1919,0.000067,0.000435
1920,0.000074,0.000461
1921,0.000071,0.000477
1922,0.000073,0.000523
1923,0.000083,0.000554
1924,0.000091,0.000616
1925,0.000099,0.000696
1926,0.000098,0.000842
1927,0.000110,0.000955
1928,0.000124,0.001144
1929,0.000126,0.001365
1930,0.000163,0.001750
1931,0.000183,0.002077
1932,0.000178,0.002512
1933,0.000195,0.003034
1934,0.000184,0.003435
1935,0.000198,0.004044
1936,0.000215,0.004463
1937,0.000198,0.004834
1938,0.000212,0.005501
1939,0.000229,0.006231
1940,0.000227,0.006606
1941,0.000225,0.006896
1942,0.000223,0.006400
1943,0.000222,0.006283
1944,0.000201,0.006052
1945,0.000156,0.005542
1946,0.000149,0.005497
1947,0.000130,0.005216
1948,0.000125,0.004869
1949,0.000099,0.004554
1950,0.000100,0.004357
1951,0.000086,0.004116
1952,0.000070,0.003802
1953,0.000072,0.003609
1954,0.000062,0.003436
1955,0.000054,0.003232
1956,0.000052,0.003064
1957,0.000056,0.003158
1958,0.000051,0.003126
1959,0.000046,0.002963
1960,0.000038,0.002849
1961,0.000030,0.002746
1962,0.000040,0.002621
1963,0.000030,0.002575
1964,0.000036,0.002472
1965,0.000031,0.002488
1966,0.000029,0.002425
1967,0.000032,0.002291
1968,0.000032,0.002204
1969,0.000028,0.002097
1970,0.000032,0.002058
1971,0.000027,0.001915
1972,0.000030,0.001781
1973,0.000027,0.001689
1974,0.000020,0.001534
1975,0.000025,0.001427
1976,0.000022,0.001341
1977,0.000014,0.001180
1978,0.000017,0.001081
1979,0.000013,0.001035
1980,0.000017,0.000927
1981,0.000009,0.000883
1982,0.000016,0.000839
1983,0.000012,0.000796
1984,0.000010,0.000704
1985,0.000013,0.000679
1986,0.000009,0.000637
1987,0.000009,0.000619
1988,0.000010,0.000613
1989,0.000007,0.000563
1990,0.000006,0.000553
1991,0.000005,0.000513
1992,0.000005,0.000461
1993,0.000005,0.000458
1994,0.000004,0.000434
1995,0.000004,0.000414
1996,0.000003,0.000441
1997,0.000004,0.000402
1998,0.000002,0.000380
1999,0.000002,0.000352
2000,0.000003,0.000331
2001,0.000002,0.000335
2002,0.000002,0.000278
2003,0.000002,0.000286
2004,0.000002,0.000284
2005,0.000001,0.000271
2006,0.000000,0.000255
2007,0.000000,0.000249
2008,0.000002,0.000267
2009,0.000000,0.000214
2010,0.000000,0.000203
2011,0.000000,0.000198
2012,0.000000,0.000169
2013,0.000000,0.000175
2014,0.000000,0.000177
2015,0.000000,0.000162
2016,0.000000,0.000162
2017,0.000002,0.000138
2018,0.000000,0.000129
2019,0.000000,0.000109
2020,0.000000,0.000136
