year,Julia (F),Julia (M)
1880,0.003886,0.000000
1881,0.003825,0.000000
1882,0.003661,0.000023
1883,0.004033,0.000000
1884,0.003840,0.000029
1885,0.004409,0.000029
1886,0.004156,0.000027
1887,0.004216,0.000024
1888,0.004314,0.000020
1889,0.004156,0.000000
1890,0.004230,0.000000
1891,0.004186,0.000021
1892,0.004067,0.000000
1893,0.004203,0.000034
1894,0.003897,0.000015
1895,0.003931,0.000000
1896,0.003936,0.000000
1897,0.003977,0.000014
1898,0.003833,0.000018
1899,0.003823,0.000000
1900,0.003921,0.000013
1901,0.003938,0.000046
1902,0.003881,0.000021
1903,0.003796,0.000000
1904,0.003534,0.000000
1905,0.003873,0.000000
1906,0.003741,0.000000
1907,0.003610,0.000000
1908,0.003579,0.000020
1909,0.003777,0.000010
1910,0.003511,0.000012
1911,0.003350,0.000016
1912,0.002859,0.000013
1913,0.002810,0.000011
1914,0.002692,0.000009
1915,0.002636,0.000006
1916,0.002619,0.000006
1917,0.002530,0.000012
1918,0.002425,0.000010
1919,0.002346,0.000011
1920,0.002161,0.000010
1921,0.002030,0.000006
1922,0.002016,0.000003
1923,0.001877,0.000010
1924,0.001800,0.000010
1925,0.001734,0.000009
1926,0.001605,0.000011
1927,0.001547,0.000007
1928,0.001419,0.000009
1929,0.001346,0.000015
1930,0.001294,0.000007
1931,0.001246,0.000009
1932,0.001259,0.000011
1933,0.001201,0.000006
1934,0.001136,0.000009
1935,0.001121,0.000008
1936,0.001097,0.000009
1937,0.001072,0.000011
1938,0.001119,0.000010
1939,0.001197,0.000010
1940,0.001176,0.000008
1941,0.001168,0.000006
1942,0.001064,0.000006
1943,0.001052,0.000005
1944,0.000999,0.000003
1945,0.000878,0.000006
1946,0.000875,0.000002
1947,0.000821,0.000004
1948,0.000804,0.000002
1949,0.000839,0.000003
1950,0.000778,0.000002
1951,0.000746,0.000004
1952,0.000732,0.000002
1953,0.000772,0.000002
1954,0.000794,0.000002
1955,0.000818,0.000004
1956,0.000807,0.000003
1957,0.000878,0.000003
1958,0.000928,0.000003
1959,0.000947,0.000004
1960,0.000912,0.000002
1961,0.000943,0.000003
1962,0.000929,0.000003
1963,0.000902,0.000005
1964,0.000911,0.000004
1965,0.000854,0.000004
1966,0.000875,0.000003
1967,0.000817,0.000002
1968,0.000886,0.000006
1969,0.001068,0.000004
1970,0.000881,0.000006
1971,0.000760,0.000003
1972,0.000743,0.000002
1973,0.000694,0.000002
1974,0.000680,0.000003
1975,0.000663,0.000004
1976,0.000631,0.000006
1977,0.000651,0.000004
1978,0.000816,0.000005
1979,0.000773,0.000003
1980,0.000891,0.000007
1981,0.001060,0.000007
1982,0.000998,0.000006
1983,0.000976,0.000006
1984,0.000963,0.000006
1985,0.000897,0.000009
1986,0.000874,0.000008
1987,0.000923,0.000005
1988,0.000909,0.000008
1989,0.000876,0.000015
1990,0.000989,0.000007
1991,0.001377,0.000005
1992,0.001308,0.000005
1993,0.001236,0.000005
1994,0.001302,0.000003
1995,0.001478,0.000004
1996,0.001731,0.000002
1997,0.002025,0.000003
1998,0.002265,0.000004
1999,0.002370,0.000003
2000,0.002321,0.000002
2001,0.002362,0.000003
2002,0.002132,0.000004
2003,0.001957,0.000005
2004,0.001871,0.000007
2005,0.001844,0.000002
2006,0.001742,0.000003
2007,0.001536,0.000002
2008,0.001431,0.000002
2009,0.001308,0.000000
2010,0.001268,0.000002
2011,0.001190,0.000002
2012,0.001062,0.000000
2013,0.001030,0.000000
