year,Roman (F),Roman (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000046
1884,0.000000,0.000000
1885,0.000000,0.000029
1886,0.000000,0.000035
1887,0.000000,0.000065
1888,0.000000,0.000047
1889,0.000000,0.000045
1890,0.000000,0.000033
1891,0.000000,0.000035
1892,0.000000,0.000000
1893,0.000000,0.000028
1894,0.000000,0.000030
1895,0.000000,0.000054
1896,0.000000,0.000042
1897,0.000000,0.000055
1898,0.000000,0.000058
1899,0.000000,0.000062
1900,0.000000,0.000044
1901,0.000000,0.000052
1902,0.000000,0.000059
1903,0.000000,0.000047
1904,0.000000,0.000057
1905,0.000000,0.000073
1906,0.000000,0.000068
1907,0.000000,0.000067
1908,0.000000,0.000080
1909,0.000000,0.000065
1910,0.000000,0.000074
1911,0.000000,0.000088
1912,0.000000,0.000087
1913,0.000000,0.000118
1914,0.000000,0.000135
1915,0.000000,0.000128
1916,0.000000,0.000137
1917,0.000000,0.000128
1918,0.000000,0.000124
1919,0.000000,0.000122
1920,0.000000,0.000110
1921,0.000000,0.000110
1922,0.000000,0.000111
1923,0.000000,0.000111
1924,0.000000,0.000104
1925,0.000000,0.000096
1926,0.000000,0.000097
1927,0.000000,0.000101
1928,0.000000,0.000098
1929,0.000000,0.000085
1930,0.000000,0.000074
1931,0.000000,0.000087
1932,0.000000,0.000078
1933,0.000000,0.000066
1934,0.000000,0.000065
1935,0.000000,0.000051
1936,0.000000,0.000056
1937,0.000000,0.000041
1938,0.000000,0.000047
1939,0.000000,0.000042
1940,0.000000,0.000054
1941,0.000000,0.000041
1942,0.000000,0.000042
1943,0.000000,0.000043
1944,0.000000,0.000034
1945,0.000000,0.000034
1946,0.000000,0.000029
1947,0.000000,0.000032
1948,0.000000,0.000034
1949,0.000000,0.000041
1950,0.000000,0.000043
1951,0.000000,0.000042
1952,0.000000,0.000041
1953,0.000000,0.000048
1954,0.000000,0.000044
1955,0.000000,0.000039
1956,0.000000,0.000043
1957,0.000000,0.000040
1958,0.000000,0.000042
1959,0.000000,0.000038
1960,0.000000,0.000034
1961,0.000000,0.000037
1962,0.000000,0.000047
1963,0.000000,0.000046
1964,0.000000,0.000047
1965,0.000000,0.000051
1966,0.000000,0.000044
1967,0.000000,0.000045
1968,0.000000,0.000064
1969,0.000000,0.000071
1970,0.000000,0.000104
1971,0.000000,0.000114
1972,0.000002,0.000115
1973,0.000000,0.000120
1974,0.000002,0.000115
1975,0.000000,0.000116
1976,0.000002,0.000104
1977,0.000002,0.000092
1978,0.000002,0.000082
1979,0.000000,0.000086
1980,0.000000,0.000075
1981,0.000000,0.000083
1982,0.000000,0.000105
1983,0.000001,0.000112
1984,0.000000,0.000118
1985,0.000002,0.000101
1986,0.000000,0.000110
1987,0.000001,0.000112
1988,0.000002,0.000137
1989,0.000003,0.000149
1990,0.000002,0.000158
1991,0.000000,0.000154
1992,0.000000,0.000163
1993,0.000002,0.000175
1994,0.000000,0.000167
1995,0.000001,0.000176
1996,0.000001,0.000184
1997,0.000000,0.000203
1998,0.000002,0.000218
1999,0.000001,0.000212
2000,0.000001,0.000238
2001,0.000000,0.000262
2002,0.000000,0.000278
2003,0.000000,0.000274
2004,0.000002,0.000366
2005,0.000000,0.000484
2006,0.000002,0.000459
2007,0.000002,0.000472
2008,0.000003,0.000491
2009,0.000002,0.000481
2010,0.000002,0.000539
2011,0.000003,0.000674
2012,0.000003,0.000704
2013,0.000003,0.000792
