year,Tara (F),Tara (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000003,0.000000
1940,0.000006,0.000000
1941,0.000006,0.000000
1942,0.000008,0.000000
1943,0.000009,0.000000
1944,0.000010,0.000000
1945,0.000011,0.000000
1946,0.000018,0.000000
1947,0.000013,0.000000
1948,0.000021,0.000000
1949,0.000026,0.000000
1950,0.000029,0.000000
1951,0.000027,0.000000
1952,0.000037,0.000000
1953,0.000039,0.000000
1954,0.000065,0.000000
1955,0.000108,0.000000
1956,0.000110,0.000000
1957,0.000110,0.000000
1958,0.000113,0.000000
1959,0.000147,0.000000
1960,0.000165,0.000000
1961,0.000227,0.000000
1962,0.000271,0.000002
1963,0.000285,0.000002
1964,0.000319,0.000000
1965,0.000322,0.000001
1966,0.000371,0.000001
1967,0.000380,0.000000
1968,0.000647,0.000002
1969,0.001013,0.000002
1970,0.001477,0.000006
1971,0.001845,0.000006
1972,0.002300,0.000011
1973,0.002223,0.000005
1974,0.002189,0.000008
1975,0.002138,0.000007
1976,0.001985,0.000011
1977,0.002265,0.000007
1978,0.001994,0.000009
1979,0.002046,0.000008
1980,0.001824,0.000008
1981,0.001840,0.000006
1982,0.001860,0.000008
1983,0.001811,0.000005
1984,0.001801,0.000004
1985,0.001709,0.000004
1986,0.001429,0.000006
1987,0.001233,0.000006
1988,0.001247,0.000005
1989,0.001137,0.000005
1990,0.000968,0.000005
1991,0.000854,0.000002
1992,0.000738,0.000003
1993,0.000657,0.000000
1994,0.000589,0.000002
1995,0.000552,0.000000
1996,0.000521,0.000000
1997,0.000488,0.000000
1998,0.000445,0.000000
1999,0.000377,0.000001
2000,0.000354,0.000000
2001,0.000310,0.000000
2002,0.000284,0.000000
2003,0.000244,0.000000
2004,0.000256,0.000000
2005,0.000241,0.000000
2006,0.000173,0.000000
2007,0.000145,0.000000
2008,0.000124,0.000000
2009,0.000111,0.000000
2010,0.000096,0.000000
2011,0.000083,0.000000
2012,0.000092,0.000000
2013,0.000077,0.000000
2014,0.000081,0.000000
2015,0.000081,0.000000
2016,0.000071,0.000000
2017,0.000074,0.000000
2018,0.000071,0.000000
2019,0.000073,0.000000
2020,0.000060,0.000000
