year,Tony (F),Tony (M)
1880,0.000000,0.000208
1881,0.000000,0.000187
1882,0.000000,0.000208
1883,0.000000,0.000147
1884,0.000000,0.000168
1885,0.000000,0.000137
1886,0.000000,0.000114
1887,0.000000,0.000162
1888,0.000000,0.000190
1889,0.000021,0.000156
1890,0.000017,0.000129
1891,0.000000,0.000185
1892,0.000000,0.000141
1893,0.000000,0.000129
1894,0.000000,0.000142
1895,0.000000,0.000122
1896,0.000000,0.000157
1897,0.000000,0.000156
1898,0.000013,0.000136
1899,0.000000,0.000124
1900,0.000000,0.000224
1901,0.000000,0.000179
1902,0.000000,0.000191
1903,0.000016,0.000205
1904,0.000000,0.000216
1905,0.000000,0.000203
1906,0.000000,0.000224
1907,0.000017,0.000299
1908,0.000000,0.000291
1909,0.000000,0.000303
1910,0.000000,0.000359
1911,0.000000,0.000321
1912,0.000006,0.000399
1913,0.000004,0.000447
1914,0.000004,0.000518
1915,0.000004,0.000554
1916,0.000008,0.000545
1917,0.000006,0.000554
1918,0.000004,0.000536
1919,0.000005,0.000519
1920,0.000010,0.000506
1921,0.000009,0.000513
1922,0.000010,0.000500
1923,0.000013,0.000446
1924,0.000010,0.000433
1925,0.000012,0.000419
1926,0.000010,0.000441
1927,0.000015,0.000446
1928,0.000013,0.000423
1929,0.000011,0.000397
1930,0.000013,0.000410
1931,0.000007,0.000387
1932,0.000009,0.000405
1933,0.000008,0.000406
1934,0.000009,0.000404
1935,0.000013,0.000423
1936,0.000012,0.000430
1937,0.000008,0.000433
1938,0.000005,0.000478
1939,0.000010,0.000533
1940,0.000007,0.000535
1941,0.000011,0.000502
1942,0.000007,0.000515
1943,0.000008,0.000516
1944,0.000007,0.000555
1945,0.000009,0.000619
1946,0.000006,0.000618
1947,0.000007,0.000632
1948,0.000006,0.000657
1949,0.000007,0.000571
1950,0.000006,0.000502
1951,0.000004,0.000522
1952,0.000005,0.000580
1953,0.000006,0.000720
1954,0.000008,0.000839
1955,0.000009,0.000935
1956,0.000006,0.001134
1957,0.000013,0.001395
1958,0.000011,0.001679
1959,0.000016,0.001819
1960,0.000014,0.001925
1961,0.000015,0.002004
1962,0.000012,0.002030
1963,0.000014,0.001990
1964,0.000013,0.001852
1965,0.000018,0.001882
1966,0.000017,0.001889
1967,0.000019,0.001833
1968,0.000020,0.001741
1969,0.000020,0.001586
1970,0.000022,0.001521
1971,0.000021,0.001424
1972,0.000017,0.001272
1973,0.000020,0.001113
1974,0.000021,0.001058
1975,0.000018,0.001101
1976,0.000022,0.001009
1977,0.000015,0.000925
1978,0.000019,0.000872
1979,0.000013,0.000795
1980,0.000011,0.000791
1981,0.000010,0.000765
1982,0.000010,0.000743
1983,0.000014,0.000679
1984,0.000010,0.000700
1985,0.000009,0.000706
1986,0.000009,0.000663
1987,0.000012,0.000636
1988,0.000006,0.000608
1989,0.000005,0.000598
1990,0.000006,0.000552
1991,0.000006,0.000539
1992,0.000005,0.000501
1993,0.000006,0.000497
1994,0.000005,0.000438
1995,0.000003,0.000425
1996,0.000003,0.000361
1997,0.000003,0.000344
1998,0.000003,0.000320
1999,0.000001,0.000307
2000,0.000002,0.000288
2001,0.000003,0.000274
2002,0.000000,0.000286
2003,0.000003,0.000263
2004,0.000002,0.000250
2005,0.000002,0.000267
2006,0.000002,0.000249
2007,0.000003,0.000251
2008,0.000001,0.000225
2009,0.000000,0.000210
2010,0.000001,0.000202
2011,0.000000,0.000189
2012,0.000000,0.000178
2013,0.000000,0.000183
