year,Ethan (F),Ethan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000000
1884,0.000000,0.000041
1885,0.000000,0.000000
1886,0.000000,0.000024
1887,0.000000,0.000028
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000021
1892,0.000000,0.000000
1893,0.000000,0.000028
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000025
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000017
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000012
1910,0.000000,0.000000
1911,0.000000,0.000011
1912,0.000000,0.000016
1913,0.000000,0.000011
1914,0.000000,0.000018
1915,0.000000,0.000015
1916,0.000000,0.000012
1917,0.000000,0.000010
1918,0.000000,0.000012
1919,0.000000,0.000013
1920,0.000000,0.000014
1921,0.000000,0.000011
1922,0.000000,0.000012
1923,0.000000,0.000009
1924,0.000000,0.000006
1925,0.000000,0.000007
1926,0.000000,0.000012
1927,0.000000,0.000012
1928,0.000000,0.000011
1929,0.000000,0.000008
1930,0.000000,0.000009
1931,0.000000,0.000012
1932,0.000000,0.000009
1933,0.000000,0.000012
1934,0.000000,0.000010
1935,0.000000,0.000012
1936,0.000000,0.000011
1937,0.000000,0.000008
1938,0.000000,0.000009
1939,0.000000,0.000015
1940,0.000000,0.000007
1941,0.000000,0.000010
1942,0.000000,0.000008
1943,0.000000,0.000011
1944,0.000000,0.000010
1945,0.000000,0.000008
1946,0.000000,0.000008
1947,0.000000,0.000007
1948,0.000000,0.000008
1949,0.000000,0.000008
1950,0.000000,0.000007
1951,0.000000,0.000009
1952,0.000000,0.000014
1953,0.000000,0.000011
1954,0.000000,0.000016
1955,0.000000,0.000013
1956,0.000000,0.000015
1957,0.000000,0.000015
1958,0.000000,0.000018
1959,0.000000,0.000020
1960,0.000000,0.000023
1961,0.000000,0.000027
1962,0.000000,0.000033
1963,0.000000,0.000034
1964,0.000000,0.000052
1965,0.000000,0.000050
1966,0.000000,0.000049
1967,0.000000,0.000055
1968,0.000000,0.000051
1969,0.000000,0.000063
1970,0.000000,0.000075
1971,0.000000,0.000107
1972,0.000000,0.000164
1973,0.000000,0.000172
1974,0.000000,0.000172
1975,0.000000,0.000180
1976,0.000000,0.000187
1977,0.000000,0.000213
1978,0.000000,0.000199
1979,0.000000,0.000213
1980,0.000000,0.000205
1981,0.000000,0.000212
1982,0.000000,0.000204
1983,0.000002,0.000212
1984,0.000001,0.000210
1985,0.000000,0.000188
1986,0.000003,0.000168
1987,0.000000,0.000182
1988,0.000000,0.000242
1989,0.000003,0.001055
1990,0.000004,0.001769
1991,0.000004,0.001573
1992,0.000003,0.001277
1993,0.000002,0.001104
1994,0.000004,0.001120
1995,0.000003,0.001347
1996,0.000002,0.001605
1997,0.000003,0.002153
1998,0.000004,0.002864
1999,0.000004,0.003098
2000,0.000006,0.004029
2001,0.000006,0.004799
2002,0.000010,0.005917
2003,0.000008,0.005619
2004,0.000033,0.005814
2005,0.000009,0.005546
2006,0.000007,0.005189
2007,0.000004,0.005264
2008,0.000009,0.005147
2009,0.000006,0.005199
2010,0.000005,0.004875
2011,0.000006,0.004566
2012,0.000006,0.004839
2013,0.000005,0.004462
2014,0.000005,0.004250
2015,0.000005,0.004083
2016,0.000004,0.003777
2017,0.000003,0.003491
2018,0.000003,0.003396
2019,0.000004,0.003260
2020,0.000003,0.002863
