year,Emmett (F),Emmett (M)
1880,0.000000,0.000367
1881,0.000000,0.000337
1882,0.000000,0.000447
1883,0.000000,0.000401
1884,0.000000,0.000341
1885,0.000000,0.000419
1886,0.000000,0.000368
1887,0.000000,0.000364
1888,0.000000,0.000334
1889,0.000000,0.000374
1890,0.000000,0.000345
1891,0.000000,0.000310
1892,0.000000,0.000350
1893,0.000000,0.000317
1894,0.000000,0.000372
1895,0.000000,0.000393
1896,0.000000,0.000316
1897,0.000000,0.000340
1898,0.000000,0.000343
1899,0.000000,0.000286
1900,0.000000,0.000264
1901,0.000000,0.000318
1902,0.000000,0.000253
1903,0.000000,0.000254
1904,0.000000,0.000297
1905,0.000000,0.000302
1906,0.000000,0.000219
1907,0.000000,0.000318
1908,0.000000,0.000258
1909,0.000000,0.000288
1910,0.000000,0.000269
1911,0.000000,0.000219
1912,0.000000,0.000294
1913,0.000000,0.000299
1914,0.000000,0.000287
1915,0.000000,0.000323
1916,0.000000,0.000258
1917,0.000002,0.000270
1918,0.000000,0.000272
1919,0.000003,0.000298
1920,0.000000,0.000271
1921,0.000003,0.000260
1922,0.000000,0.000253
1923,0.000003,0.000245
1924,0.000000,0.000245
1925,0.000003,0.000248
1926,0.000003,0.000235
1927,0.000003,0.000210
1928,0.000002,0.000202
1929,0.000000,0.000193
1930,0.000000,0.000197
1931,0.000000,0.000191
1932,0.000000,0.000167
1933,0.000000,0.000181
1934,0.000000,0.000164
1935,0.000000,0.000171
1936,0.000000,0.000151
1937,0.000000,0.000150
1938,0.000000,0.000146
1939,0.000000,0.000158
1940,0.000000,0.000147
1941,0.000000,0.000134
1942,0.000000,0.000127
1943,0.000000,0.000118
1944,0.000000,0.000133
1945,0.000000,0.000114
1946,0.000000,0.000112
1947,0.000002,0.000116
1948,0.000000,0.000105
1949,0.000001,0.000082
1950,0.000000,0.000089
1951,0.000000,0.000087
1952,0.000000,0.000084
1953,0.000000,0.000074
1954,0.000000,0.000071
1955,0.000000,0.000074
1956,0.000000,0.000078
1957,0.000000,0.000070
1958,0.000001,0.000064
1959,0.000000,0.000069
1960,0.000000,0.000051
1961,0.000000,0.000057
1962,0.000000,0.000058
1963,0.000000,0.000050
1964,0.000000,0.000052
1965,0.000000,0.000053
1966,0.000000,0.000052
1967,0.000000,0.000056
1968,0.000000,0.000056
1969,0.000000,0.000054
1970,0.000000,0.000048
1971,0.000000,0.000044
1972,0.000000,0.000047
1973,0.000000,0.000044
1974,0.000000,0.000042
1975,0.000000,0.000041
1976,0.000000,0.000043
1977,0.000000,0.000039
1978,0.000000,0.000035
1979,0.000000,0.000034
1980,0.000000,0.000031
1981,0.000000,0.000030
1982,0.000000,0.000031
1983,0.000000,0.000035
1984,0.000000,0.000029
1985,0.000000,0.000024
1986,0.000000,0.000029
1987,0.000000,0.000028
1988,0.000000,0.000030
1989,0.000000,0.000034
1990,0.000000,0.000030
1991,0.000000,0.000034
1992,0.000000,0.000044
1993,0.000000,0.000044
1994,0.000000,0.000044
1995,0.000000,0.000047
1996,0.000000,0.000044
1997,0.000000,0.000055
1998,0.000000,0.000047
1999,0.000000,0.000051
2000,0.000000,0.000061
2001,0.000000,0.000068
2002,0.000000,0.000068
2003,0.000000,0.000075
2004,0.000000,0.000089
2005,0.000000,0.000099
2006,0.000000,0.000111
2007,0.000000,0.000112
2008,0.000000,0.000122
2009,0.000000,0.000251
2010,0.000000,0.000346
2011,0.000001,0.000440
2012,0.000003,0.000555
