year,Clarence (F),Clarence (M)
1880,0.000035,0.003623
1881,0.000000,0.003467
1882,0.000000,0.003778
1883,0.000000,0.003858
1884,0.000021,0.003651
1885,0.000000,0.003762
1886,0.000000,0.003897
1887,0.000020,0.003606
1888,0.000000,0.003416
1889,0.000000,0.003405
1890,0.000000,0.003378
1891,0.000000,0.003516
1892,0.000015,0.003816
1893,0.000018,0.003594
1894,0.000024,0.003499
1895,0.000040,0.003775
1896,0.000000,0.003508
1897,0.000000,0.003461
1898,0.000016,0.003476
1899,0.000027,0.003358
1900,0.000024,0.003293
1901,0.000035,0.003458
1902,0.000000,0.003341
1903,0.000016,0.003308
1904,0.000022,0.003247
1905,0.000019,0.003248
1906,0.000033,0.003078
1907,0.000024,0.002985
1908,0.000014,0.002922
1909,0.000000,0.002969
1910,0.000025,0.002888
1911,0.000023,0.002754
1912,0.000015,0.003634
1913,0.000019,0.003558
1914,0.000021,0.003466
1915,0.000014,0.003420
1916,0.000014,0.003259
1917,0.000018,0.003282
1918,0.000018,0.003311
1919,0.000022,0.003235
1920,0.000019,0.003191
1921,0.000015,0.003141
1922,0.000016,0.002997
1923,0.000015,0.002956
1924,0.000019,0.002896
1925,0.000018,0.002857
1926,0.000017,0.002847
1927,0.000016,0.002784
1928,0.000021,0.002687
1929,0.000020,0.002611
1930,0.000021,0.002471
1931,0.000021,0.002407
1932,0.000018,0.002318
1933,0.000013,0.002139
1934,0.000013,0.002029
1935,0.000009,0.001952
1936,0.000009,0.001814
1937,0.000010,0.001763
1938,0.000012,0.001643
1939,0.000008,0.001580
1940,0.000010,0.001513
1941,0.000009,0.001507
1942,0.000007,0.001369
1943,0.000006,0.001365
1944,0.000009,0.001331
1945,0.000009,0.001201
1946,0.000007,0.001116
1947,0.000005,0.001088
1948,0.000005,0.001099
1949,0.000007,0.000972
1950,0.000005,0.000955
1951,0.000007,0.000875
1952,0.000004,0.000831
1953,0.000005,0.000799
1954,0.000004,0.000798
1955,0.000004,0.000750
1956,0.000004,0.000716
1957,0.000003,0.000626
1958,0.000005,0.000610
1959,0.000005,0.000571
1960,0.000004,0.000530
1961,0.000003,0.000529
1962,0.000005,0.000483
1963,0.000003,0.000495
1964,0.000005,0.000456
1965,0.000004,0.000497
1966,0.000007,0.000441
1967,0.000004,0.000406
1968,0.000005,0.000408
1969,0.000004,0.000385
1970,0.000005,0.000384
1971,0.000005,0.000400
1972,0.000003,0.000387
1973,0.000004,0.000365
1974,0.000004,0.000331
1975,0.000003,0.000302
1976,0.000006,0.000314
1977,0.000003,0.000279
1978,0.000004,0.000294
1979,0.000002,0.000274
1980,0.000003,0.000250
1981,0.000000,0.000245
1982,0.000003,0.000240
1983,0.000002,0.000230
1984,0.000003,0.000210
1985,0.000003,0.000190
1986,0.000001,0.000195
1987,0.000003,0.000175
1988,0.000002,0.000177
1989,0.000000,0.000165
1990,0.000001,0.000156
1991,0.000000,0.000152
1992,0.000001,0.000135
1993,0.000000,0.000132
1994,0.000000,0.000129
1995,0.000000,0.000116
1996,0.000000,0.000103
1997,0.000000,0.000099
1998,0.000000,0.000095
1999,0.000000,0.000086
2000,0.000000,0.000082
2001,0.000000,0.000080
2002,0.000000,0.000070
2003,0.000000,0.000068
2004,0.000000,0.000066
2005,0.000000,0.000077
2006,0.000000,0.000063
2007,0.000000,0.000062
2008,0.000000,0.000056
2009,0.000000,0.000050
2010,0.000000,0.000054
2011,0.000000,0.000052
2012,0.000000,0.000052
2013,0.000000,0.000048
