year,Clayton (F),Clayton (M)
1880,0.000000,0.000298
1881,0.000000,0.000270
1882,0.000000,0.000271
1883,0.000000,0.000267
1884,0.000000,0.000283
1885,0.000000,0.000282
1886,0.000000,0.000286
1887,0.000000,0.000299
1888,0.000000,0.000210
1889,0.000000,0.000263
1890,0.000000,0.000255
1891,0.000000,0.000223
1892,0.000000,0.000176
1893,0.000000,0.000240
1894,0.000000,0.000186
1895,0.000000,0.000245
1896,0.000000,0.000285
1897,0.000000,0.000216
1898,0.000000,0.000228
1899,0.000000,0.000180
1900,0.000000,0.000262
1901,0.000000,0.000208
1902,0.000000,0.000251
1903,0.000000,0.000223
1904,0.000000,0.000238
1905,0.000000,0.000259
1906,0.000000,0.000233
1907,0.000000,0.000232
1908,0.000000,0.000274
1909,0.000000,0.000268
1910,0.000008,0.000269
1911,0.000000,0.000315
1912,0.000000,0.000350
1913,0.000004,0.000335
1914,0.000004,0.000398
1915,0.000000,0.000381
1916,0.000004,0.000389
1917,0.000005,0.000378
1918,0.000000,0.000404
1919,0.000004,0.000427
1920,0.000005,0.000425
1921,0.000003,0.000408
1922,0.000000,0.000427
1923,0.000002,0.000430
1924,0.000003,0.000436
1925,0.000003,0.000399
1926,0.000007,0.000416
1927,0.000004,0.000396
1928,0.000006,0.000367
1929,0.000004,0.000391
1930,0.000006,0.000360
1931,0.000004,0.000395
1932,0.000005,0.000373
1933,0.000000,0.000327
1934,0.000002,0.000346
1935,0.000003,0.000336
1936,0.000000,0.000340
1937,0.000002,0.000328
1938,0.000000,0.000289
1939,0.000002,0.000287
1940,0.000000,0.000262
1941,0.000002,0.000272
1942,0.000002,0.000256
1943,0.000000,0.000271
1944,0.000000,0.000245
1945,0.000000,0.000240
1946,0.000002,0.000235
1947,0.000000,0.000226
1948,0.000001,0.000209
1949,0.000000,0.000215
1950,0.000000,0.000215
1951,0.000000,0.000221
1952,0.000001,0.000228
1953,0.000000,0.000226
1954,0.000000,0.000212
1955,0.000000,0.000229
1956,0.000002,0.000234
1957,0.000001,0.000242
1958,0.000002,0.000273
1959,0.000003,0.000272
1960,0.000000,0.000300
1961,0.000000,0.000280
1962,0.000000,0.000241
1963,0.000002,0.000258
1964,0.000000,0.000240
1965,0.000000,0.000244
1966,0.000002,0.000224
1967,0.000003,0.000219
1968,0.000001,0.000224
1969,0.000002,0.000230
1970,0.000001,0.000231
1971,0.000000,0.000282
1972,0.000004,0.000296
1973,0.000000,0.000367
1974,0.000003,0.000361
1975,0.000002,0.000390
1976,0.000000,0.000392
1977,0.000003,0.000367
1978,0.000002,0.000342
1979,0.000003,0.000364
1980,0.000002,0.000371
1981,0.000003,0.000390
1982,0.000003,0.000487
1983,0.000004,0.000499
1984,0.000003,0.000521
1985,0.000002,0.000482
1986,0.000003,0.000469
1987,0.000002,0.000503
1988,0.000003,0.000511
1989,0.000004,0.000511
1990,0.000002,0.000514
1991,0.000000,0.000474
1992,0.000001,0.000497
1993,0.000002,0.000539
1994,0.000000,0.000638
1995,0.000001,0.000644
1996,0.000002,0.000641
1997,0.000000,0.000640
1998,0.000002,0.000616
1999,0.000003,0.000635
2000,0.000003,0.000679
2001,0.000003,0.000628
2002,0.000000,0.000578
2003,0.000002,0.000560
2004,0.000004,0.000503
2005,0.000000,0.000432
2006,0.000001,0.000404
2007,0.000000,0.000362
2008,0.000002,0.000401
2009,0.000002,0.000331
2010,0.000001,0.000368
2011,0.000002,0.000368
2012,0.000002,0.000374
