year,Gilbert (F),Gilbert (M)
1880,0.000000,0.000501
1881,0.000000,0.000477
1882,0.000000,0.000397
1883,0.000000,0.000424
1884,0.000000,0.000411
1885,0.000000,0.000320
1886,0.000000,0.000356
1887,0.000000,0.000412
1888,0.000000,0.000364
1889,0.000000,0.000363
1890,0.000000,0.000385
1891,0.000000,0.000300
1892,0.000000,0.000359
1893,0.000000,0.000375
1894,0.000000,0.000410
1895,0.000000,0.000376
1896,0.000000,0.000361
1897,0.000000,0.000349
1898,0.000000,0.000375
1899,0.000000,0.000315
1900,0.000000,0.000322
1901,0.000000,0.000373
1902,0.000000,0.000429
1903,0.000000,0.000362
1904,0.000017,0.000466
1905,0.000000,0.000432
1906,0.000000,0.000464
1907,0.000000,0.000456
1908,0.000000,0.000456
1909,0.000000,0.000468
1910,0.000000,0.000464
1911,0.000009,0.000573
1912,0.000006,0.000657
1913,0.000005,0.000763
1914,0.000004,0.000748
1915,0.000006,0.000792
1916,0.000006,0.000745
1917,0.000005,0.000752
1918,0.000006,0.000726
1919,0.000003,0.000754
1920,0.000004,0.000779
1921,0.000003,0.000730
1922,0.000003,0.000764
1923,0.000006,0.000742
1924,0.000004,0.000753
1925,0.000004,0.000711
1926,0.000005,0.000775
1927,0.000006,0.000852
1928,0.000005,0.000905
1929,0.000003,0.000938
1930,0.000009,0.000953
1931,0.000006,0.000947
1932,0.000007,0.000934
1933,0.000005,0.000853
1934,0.000006,0.000854
1935,0.000005,0.000805
1936,0.000004,0.000800
1937,0.000000,0.000790
1938,0.000006,0.000722
1939,0.000003,0.000704
1940,0.000003,0.000664
1941,0.000000,0.000699
1942,0.000003,0.000631
1943,0.000005,0.000642
1944,0.000004,0.000612
1945,0.000003,0.000611
1946,0.000000,0.000549
1947,0.000001,0.000521
1948,0.000003,0.000540
1949,0.000003,0.000520
1950,0.000002,0.000538
1951,0.000000,0.000520
1952,0.000002,0.000487
1953,0.000003,0.000495
1954,0.000002,0.000491
1955,0.000001,0.000462
1956,0.000002,0.000474
1957,0.000003,0.000466
1958,0.000002,0.000437
1959,0.000003,0.000420
1960,0.000003,0.000431
1961,0.000002,0.000413
1962,0.000003,0.000403
1963,0.000003,0.000411
1964,0.000002,0.000390
1965,0.000002,0.000371
1966,0.000003,0.000364
1967,0.000003,0.000374
1968,0.000003,0.000346
1969,0.000002,0.000319
1970,0.000002,0.000324
1971,0.000002,0.000310
1972,0.000002,0.000306
1973,0.000003,0.000304
1974,0.000003,0.000292
1975,0.000002,0.000291
1976,0.000003,0.000272
1977,0.000002,0.000247
1978,0.000002,0.000251
1979,0.000003,0.000234
1980,0.000003,0.000242
1981,0.000002,0.000237
1982,0.000003,0.000226
1983,0.000000,0.000219
1984,0.000002,0.000222
1985,0.000003,0.000192
1986,0.000000,0.000220
1987,0.000000,0.000205
1988,0.000000,0.000192
1989,0.000000,0.000176
1990,0.000001,0.000184
1991,0.000002,0.000176
1992,0.000000,0.000159
1993,0.000000,0.000170
1994,0.000000,0.000136
1995,0.000000,0.000137
1996,0.000000,0.000128
1997,0.000000,0.000124
1998,0.000000,0.000114
1999,0.000000,0.000114
2000,0.000000,0.000111
2001,0.000000,0.000109
2002,0.000000,0.000094
2003,0.000000,0.000095
2004,0.000000,0.000107
2005,0.000000,0.000098
2006,0.000000,0.000088
2007,0.000000,0.000087
2008,0.000000,0.000081
2009,0.000000,0.000073
2010,0.000000,0.000070
2011,0.000000,0.000066
2012,0.000000,0.000055
