year,Perry (F),Perry (M)
1880,0.000000,0.000665
1881,0.000000,0.000638
1882,0.000000,0.000600
1883,0.000028,0.000613
1884,0.000000,0.000555
1885,0.000000,0.000477
1886,0.000000,0.000552
1887,0.000000,0.000453
1888,0.000000,0.000414
1889,0.000000,0.000363
1890,0.000000,0.000358
1891,0.000000,0.000363
1892,0.000000,0.000329
1893,0.000018,0.000280
1894,0.000000,0.000230
1895,0.000000,0.000276
1896,0.000000,0.000311
1897,0.000017,0.000297
1898,0.000000,0.000218
1899,0.000024,0.000307
1900,0.000000,0.000315
1901,0.000017,0.000252
1902,0.000000,0.000279
1903,0.000000,0.000231
1904,0.000017,0.000230
1905,0.000014,0.000245
1906,0.000012,0.000226
1907,0.000015,0.000185
1908,0.000018,0.000272
1909,0.000016,0.000213
1910,0.000017,0.000212
1911,0.000000,0.000236
1912,0.000018,0.000219
1913,0.000013,0.000246
1914,0.000011,0.000239
1915,0.000008,0.000261
1916,0.000008,0.000227
1917,0.000007,0.000263
1918,0.000012,0.000255
1919,0.000009,0.000250
1920,0.000011,0.000240
1921,0.000009,0.000242
1922,0.000007,0.000269
1923,0.000009,0.000255
1924,0.000012,0.000253
1925,0.000012,0.000244
1926,0.000011,0.000246
1927,0.000009,0.000252
1928,0.000013,0.000280
1929,0.000008,0.000263
1930,0.000008,0.000261
1931,0.000007,0.000258
1932,0.000008,0.000250
1933,0.000010,0.000243
1934,0.000007,0.000262
1935,0.000011,0.000247
1936,0.000010,0.000243
1937,0.000008,0.000255
1938,0.000009,0.000262
1939,0.000013,0.000265
1940,0.000012,0.000240
1941,0.000008,0.000243
1942,0.000013,0.000258
1943,0.000012,0.000244
1944,0.000010,0.000225
1945,0.000009,0.000257
1946,0.000009,0.000268
1947,0.000006,0.000292
1948,0.000009,0.000284
1949,0.000007,0.000304
1950,0.000010,0.000313
1951,0.000007,0.000320
1952,0.000006,0.000303
1953,0.000006,0.000318
1954,0.000005,0.000315
1955,0.000005,0.000361
1956,0.000008,0.000453
1957,0.000008,0.000563
1958,0.000010,0.000662
1959,0.000008,0.000662
1960,0.000010,0.000581
1961,0.000006,0.000538
1962,0.000006,0.000479
1963,0.000007,0.000433
1964,0.000005,0.000398
1965,0.000007,0.000376
1966,0.000007,0.000323
1967,0.000005,0.000299
1968,0.000003,0.000264
1969,0.000005,0.000257
1970,0.000006,0.000234
1971,0.000004,0.000214
1972,0.000005,0.000172
1973,0.000002,0.000168
1974,0.000005,0.000174
1975,0.000004,0.000162
1976,0.000006,0.000152
1977,0.000004,0.000120
1978,0.000003,0.000131
1979,0.000004,0.000136
1980,0.000006,0.000129
1981,0.000003,0.000136
1982,0.000004,0.000121
1983,0.000007,0.000128
1984,0.000004,0.000121
1985,0.000006,0.000146
1986,0.000007,0.000133
1987,0.000008,0.000134
1988,0.000007,0.000123
1989,0.000008,0.000120
1990,0.000006,0.000120
1991,0.000005,0.000110
1992,0.000007,0.000101
1993,0.000008,0.000108
1994,0.000011,0.000100
1995,0.000008,0.000093
1996,0.000012,0.000087
1997,0.000007,0.000088
1998,0.000007,0.000080
1999,0.000007,0.000071
2000,0.000008,0.000069
2001,0.000007,0.000064
2002,0.000005,0.000062
2003,0.000007,0.000056
2004,0.000008,0.000058
2005,0.000009,0.000050
2006,0.000008,0.000049
2007,0.000008,0.000046
2008,0.000007,0.000042
2009,0.000008,0.000043
2010,0.000009,0.000035
2011,0.000011,0.000041
2012,0.000017,0.000039
2013,0.000017,0.000038
2014,0.000019,0.000041
2015,0.000024,0.000038
2016,0.000024,0.000033
2017,0.000027,0.000041
2018,0.000023,0.000038
2019,0.000029,0.000038
2020,0.000027,0.000044
