year,Miriam (F),Miriam (M)
1880,0.000139,0.000000
1881,0.000140,0.000000
1882,0.000181,0.000000
1883,0.000157,0.000000
1884,0.000185,0.000000
1885,0.000174,0.000000
1886,0.000219,0.000000
1887,0.000186,0.000000
1888,0.000214,0.000000
1889,0.000277,0.000000
1890,0.000275,0.000000
1891,0.000290,0.000000
1892,0.000263,0.000000
1893,0.000332,0.000000
1894,0.000449,0.000000
1895,0.000481,0.000000
1896,0.000473,0.000000
1897,0.000542,0.000000
1898,0.000461,0.000000
1899,0.000534,0.000000
1900,0.000475,0.000000
1901,0.000630,0.000000
1902,0.000517,0.000000
1903,0.000572,0.000000
1904,0.000563,0.000000
1905,0.000552,0.000000
1906,0.000637,0.000000
1907,0.000647,0.000000
1908,0.000700,0.000000
1909,0.000663,0.000000
1910,0.000623,0.000000
1911,0.000756,0.000000
1912,0.000694,0.000000
1913,0.000726,0.000000
1914,0.000693,0.000000
1915,0.000751,0.000000
1916,0.000755,0.000000
1917,0.000804,0.000000
1918,0.000787,0.000003
1919,0.000730,0.000004
1920,0.000771,0.000000
1921,0.000746,0.000003
1922,0.000716,0.000000
1923,0.000752,0.000003
1924,0.000770,0.000000
1925,0.000686,0.000000
1926,0.000658,0.000000
1927,0.000594,0.000000
1928,0.000553,0.000000
1929,0.000490,0.000000
1930,0.000473,0.000002
1931,0.000412,0.000003
1932,0.000428,0.000005
1933,0.000456,0.000000
1934,0.000394,0.000003
1935,0.000380,0.000000
1936,0.000371,0.000000
1937,0.000352,0.000000
1938,0.000347,0.000000
1939,0.000323,0.000000
1940,0.000320,0.000000
1941,0.000293,0.000000
1942,0.000258,0.000000
1943,0.000251,0.000000
1944,0.000264,0.000000
1945,0.000253,0.000000
1946,0.000219,0.000000
1947,0.000209,0.000000
1948,0.000202,0.000000
1949,0.000203,0.000000
1950,0.000240,0.000000
1951,0.000236,0.000001
1952,0.000240,0.000000
1953,0.000235,0.000002
1954,0.000262,0.000000
1955,0.000256,0.000000
1956,0.000253,0.000000
1957,0.000225,0.000002
1958,0.000241,0.000002
1959,0.000229,0.000000
1960,0.000253,0.000000
1961,0.000229,0.000000
1962,0.000245,0.000000
1963,0.000227,0.000001
1964,0.000220,0.000000
1965,0.000208,0.000000
1966,0.000191,0.000000
1967,0.000194,0.000000
1968,0.000193,0.000002
1969,0.000176,0.000000
1970,0.000182,0.000000
1971,0.000202,0.000002
1972,0.000181,0.000002
1973,0.000195,0.000000
1974,0.000196,0.000003
1975,0.000222,0.000003
1976,0.000204,0.000002
1977,0.000207,0.000002
1978,0.000193,0.000000
1979,0.000229,0.000000
1980,0.000226,0.000000
1981,0.000230,0.000002
1982,0.000231,0.000002
1983,0.000213,0.000002
1984,0.000225,0.000002
1985,0.000208,0.000002
1986,0.000212,0.000002
1987,0.000210,0.000000
1988,0.000198,0.000001
1989,0.000211,0.000004
1990,0.000248,0.000000
1991,0.000260,0.000003
1992,0.000275,0.000004
1993,0.000270,0.000002
1994,0.000273,0.000000
1995,0.000264,0.000002
1996,0.000274,0.000004
1997,0.000258,0.000002
1998,0.000268,0.000000
1999,0.000280,0.000001
2000,0.000304,0.000000
2001,0.000285,0.000000
2002,0.000294,0.000001
2003,0.000290,0.000000
2004,0.000313,0.000000
2005,0.000308,0.000000
2006,0.000291,0.000000
2007,0.000286,0.000000
2008,0.000278,0.000000
2009,0.000280,0.000000
2010,0.000291,0.000000
2011,0.000257,0.000000
2012,0.000284,0.000000
