year,Maxwell (F),Maxwell (M)
1880,0.000000,0.000045
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000046
1884,0.000000,0.000033
1885,0.000000,0.000033
1886,0.000000,0.000024
1887,0.000000,0.000028
1888,0.000000,0.000023
1889,0.000000,0.000038
1890,0.000000,0.000050
1891,0.000000,0.000024
1892,0.000000,0.000030
1893,0.000000,0.000040
1894,0.000000,0.000024
1895,0.000000,0.000037
1896,0.000000,0.000045
1897,0.000000,0.000061
1898,0.000000,0.000042
1899,0.000000,0.000035
1900,0.000000,0.000049
1901,0.000000,0.000052
1902,0.000000,0.000067
1903,0.000000,0.000045
1904,0.000000,0.000042
1905,0.000000,0.000054
1906,0.000000,0.000068
1907,0.000000,0.000047
1908,0.000000,0.000055
1909,0.000000,0.000057
1910,0.000000,0.000069
1911,0.000000,0.000076
1912,0.000000,0.000114
1913,0.000000,0.000106
1914,0.000000,0.000093
1915,0.000000,0.000096
1916,0.000000,0.000076
1917,0.000004,0.000073
1918,0.000000,0.000069
1919,0.000000,0.000063
1920,0.000000,0.000053
1921,0.000000,0.000047
1922,0.000000,0.000062
1923,0.000000,0.000054
1924,0.000000,0.000049
1925,0.000000,0.000048
1926,0.000000,0.000038
1927,0.000000,0.000044
1928,0.000000,0.000051
1929,0.000000,0.000058
1930,0.000000,0.000044
1931,0.000000,0.000040
1932,0.000000,0.000042
1933,0.000000,0.000034
1934,0.000000,0.000033
1935,0.000000,0.000036
1936,0.000000,0.000028
1937,0.000000,0.000025
1938,0.000000,0.000034
1939,0.000000,0.000031
1940,0.000000,0.000026
1941,0.000000,0.000027
1942,0.000000,0.000023
1943,0.000000,0.000023
1944,0.000000,0.000026
1945,0.000000,0.000020
1946,0.000000,0.000026
1947,0.000000,0.000018
1948,0.000000,0.000017
1949,0.000000,0.000017
1950,0.000000,0.000018
1951,0.000000,0.000018
1952,0.000000,0.000019
1953,0.000000,0.000017
1954,0.000000,0.000020
1955,0.000000,0.000022
1956,0.000000,0.000020
1957,0.000000,0.000016
1958,0.000000,0.000014
1959,0.000000,0.000019
1960,0.000000,0.000014
1961,0.000000,0.000013
1962,0.000000,0.000014
1963,0.000000,0.000016
1964,0.000000,0.000016
1965,0.000000,0.000018
1966,0.000000,0.000018
1967,0.000000,0.000017
1968,0.000000,0.000021
1969,0.000000,0.000023
1970,0.000000,0.000020
1971,0.000000,0.000017
1972,0.000000,0.000024
1973,0.000000,0.000031
1974,0.000000,0.000029
1975,0.000000,0.000034
1976,0.000000,0.000032
1977,0.000000,0.000039
1978,0.000000,0.000037
1979,0.000000,0.000045
1980,0.000000,0.000055
1981,0.000000,0.000060
1982,0.000000,0.000054
1983,0.000000,0.000064
1984,0.000000,0.000085
1985,0.000000,0.000131
1986,0.000000,0.000172
1987,0.000002,0.000282
1988,0.000003,0.000327
1989,0.000001,0.000364
1990,0.000002,0.000411
1991,0.000001,0.000442
1992,0.000000,0.000488
1993,0.000002,0.000472
1994,0.000002,0.000463
1995,0.000001,0.000502
1996,0.000001,0.000521
1997,0.000000,0.000639
1998,0.000002,0.000759
1999,0.000000,0.000904
2000,0.000002,0.000890
2001,0.000002,0.000851
2002,0.000002,0.000812
2003,0.000002,0.000812
2004,0.000004,0.000766
2005,0.000000,0.000731
2006,0.000001,0.000706
2007,0.000002,0.000679
2008,0.000001,0.000778
2009,0.000000,0.000806
2010,0.000001,0.000816
2011,0.000000,0.000835
2012,0.000002,0.000884
2013,0.000007,0.001000
2014,0.000009,0.001009
2015,0.000011,0.000961
2016,0.000016,0.000978
2017,0.000018,0.000861
2018,0.000017,0.000827
2019,0.000016,0.000760
2020,0.000016,0.000755
