year,Andrew (F),Andrew (M)
1880,0.000000,0.003196
1881,0.000026,0.003052
1882,0.000000,0.003038
1883,0.000000,0.002872
1884,0.000000,0.002530
1885,0.000000,0.002487
1886,0.000020,0.002405
1887,0.000000,0.002102
1888,0.000000,0.002054
1889,0.000000,0.001942
1890,0.000000,0.001908
1891,0.000000,0.001817
1892,0.000000,0.001905
1893,0.000000,0.001599
1894,0.000000,0.001754
1895,0.000000,0.001601
1896,0.000000,0.001583
1897,0.000000,0.001600
1898,0.000026,0.001602
1899,0.000000,0.001704
1900,0.000000,0.001595
1901,0.000000,0.001385
1902,0.000000,0.001443
1903,0.000000,0.001443
1904,0.000000,0.001356
1905,0.000000,0.001463
1906,0.000000,0.001426
1907,0.000000,0.001521
1908,0.000000,0.001478
1909,0.000000,0.001498
1910,0.000014,0.001496
1911,0.000009,0.001704
1912,0.000008,0.001970
1913,0.000007,0.001954
1914,0.000008,0.002093
1915,0.000011,0.001950
1916,0.000008,0.001925
1917,0.000006,0.001870
1918,0.000008,0.001906
1919,0.000010,0.001825
1920,0.000010,0.001779
1921,0.000007,0.001720
1922,0.000010,0.001661
1923,0.000011,0.001628
1924,0.000010,0.001572
1925,0.000006,0.001550
1926,0.000011,0.001456
1927,0.000015,0.001482
1928,0.000015,0.001390
1929,0.000013,0.001404
1930,0.000011,0.001375
1931,0.000014,0.001290
1932,0.000011,0.001253
1933,0.000008,0.001172
1934,0.000011,0.001177
1935,0.000008,0.001097
1936,0.000006,0.001097
1937,0.000007,0.001128
1938,0.000004,0.001089
1939,0.000005,0.001107
1940,0.000006,0.001055
1941,0.000006,0.001112
1942,0.000006,0.001150
1943,0.000006,0.001187
1944,0.000006,0.001136
1945,0.000005,0.001134
1946,0.000005,0.001176
1947,0.000003,0.001206
1948,0.000003,0.001248
1949,0.000006,0.001295
1950,0.000005,0.001408
1951,0.000004,0.001459
1952,0.000003,0.001468
1953,0.000005,0.001460
1954,0.000004,0.001419
1955,0.000006,0.001498
1956,0.000005,0.001601
1957,0.000006,0.001665
1958,0.000008,0.001719
1959,0.000006,0.001705
1960,0.000006,0.001975
1961,0.000006,0.002047
1962,0.000009,0.002156
1963,0.000009,0.002405
1964,0.000010,0.002701
1965,0.000010,0.002669
1966,0.000015,0.002945
1967,0.000014,0.002937
1968,0.000017,0.003127
1969,0.000012,0.003247
1970,0.000014,0.003326
1971,0.000016,0.003180
1972,0.000014,0.003219
1973,0.000017,0.003556
1974,0.000018,0.003876
1975,0.000020,0.004226
1976,0.000019,0.004388
1977,0.000024,0.005047
1978,0.000026,0.005273
1979,0.000038,0.005600
1980,0.000027,0.005728
1981,0.000034,0.005849
1982,0.000045,0.006510
1983,0.000054,0.007385
1984,0.000044,0.007432
1985,0.000058,0.008454
1986,0.000060,0.009520
1987,0.000062,0.010043
1988,0.000058,0.009675
1989,0.000038,0.009056
1990,0.000027,0.008518
1991,0.000024,0.008098
1992,0.000026,0.007951
1993,0.000020,0.007247
1994,0.000017,0.006997
1995,0.000015,0.007060
1996,0.000012,0.006921
1997,0.000014,0.006952
1998,0.000014,0.006434
1999,0.000011,0.006460
2000,0.000012,0.006257
2001,0.000012,0.005990
2002,0.000009,0.005893
2003,0.000010,0.005828
2004,0.000026,0.005683
2005,0.000008,0.005395
2006,0.000006,0.004988
2007,0.000007,0.004618
2008,0.000008,0.004267
2009,0.000006,0.003894
2010,0.000004,0.003860
2011,0.000003,0.003635
2012,0.000006,0.003456
2013,0.000004,0.003205
2014,0.000003,0.003018
2015,0.000003,0.002740
2016,0.000004,0.002569
2017,0.000004,0.002316
2018,0.000003,0.002077
2019,0.000003,0.001962
2020,0.000003,0.001813
