year,Albert (F),Albert (M)
1880,0.000000,0.007410
1881,0.000000,0.006845
1882,0.000023,0.006766
1883,0.000051,0.006896
1884,0.000021,0.005894
1885,0.000025,0.005933
1886,0.000024,0.005828
1887,0.000028,0.005231
1888,0.000047,0.005239
1889,0.000000,0.004683
1890,0.000036,0.004701
1891,0.000031,0.004210
1892,0.000039,0.004486
1893,0.000028,0.004160
1894,0.000035,0.004272
1895,0.000026,0.003963
1896,0.000028,0.004011
1897,0.000023,0.003969
1898,0.000024,0.003715
1899,0.000021,0.003567
1900,0.000027,0.003867
1901,0.000023,0.003808
1902,0.000021,0.003555
1903,0.000016,0.003507
1904,0.000012,0.003601
1905,0.000021,0.003614
1906,0.000021,0.003429
1907,0.000019,0.003515
1908,0.000016,0.003360
1909,0.000020,0.003552
1910,0.000022,0.003696
1911,0.000022,0.003846
1912,0.000014,0.004642
1913,0.000019,0.004792
1914,0.000020,0.004901
1915,0.000018,0.004816
1916,0.000017,0.004675
1917,0.000020,0.004563
1918,0.000020,0.004576
1919,0.000021,0.004552
1920,0.000015,0.004418
1921,0.000020,0.004351
1922,0.000023,0.004323
1923,0.000016,0.004267
1924,0.000020,0.004148
1925,0.000028,0.004077
1926,0.000021,0.003983
1927,0.000035,0.003936
1928,0.000028,0.003898
1929,0.000029,0.003685
1930,0.000027,0.003573
1931,0.000017,0.003389
1932,0.000019,0.003251
1933,0.000018,0.003045
1934,0.000016,0.002891
1935,0.000016,0.002917
1936,0.000016,0.002770
1937,0.000014,0.002659
1938,0.000012,0.002619
1939,0.000014,0.002486
1940,0.000016,0.002420
1941,0.000011,0.002434
1942,0.000012,0.002378
1943,0.000011,0.002234
1944,0.000009,0.002176
1945,0.000010,0.002048
1946,0.000010,0.001879
1947,0.000006,0.001794
1948,0.000008,0.001783
1949,0.000008,0.001740
1950,0.000007,0.001642
1951,0.000006,0.001564
1952,0.000008,0.001490
1953,0.000006,0.001411
1954,0.000008,0.001363
1955,0.000007,0.001291
1956,0.000007,0.001249
1957,0.000005,0.001201
1958,0.000006,0.001163
1959,0.000006,0.001107
1960,0.000006,0.001107
1961,0.000004,0.001042
1962,0.000006,0.001010
1963,0.000006,0.000982
1964,0.000006,0.000968
1965,0.000005,0.000943
1966,0.000003,0.000949
1967,0.000005,0.000934
1968,0.000007,0.000864
1969,0.000007,0.000845
1970,0.000007,0.000852
1971,0.000007,0.000782
1972,0.000010,0.000799
1973,0.000006,0.000759
1974,0.000008,0.000663
1975,0.000003,0.000668
1976,0.000009,0.000632
1977,0.000005,0.000614
1978,0.000005,0.000569
1979,0.000004,0.000559
1980,0.000003,0.000568
1981,0.000003,0.000561
1982,0.000005,0.000577
1983,0.000004,0.000527
1984,0.000003,0.000541
1985,0.000003,0.000504
1986,0.000005,0.000492
1987,0.000005,0.000490
1988,0.000003,0.000486
1989,0.000003,0.000458
1990,0.000002,0.000463
1991,0.000001,0.000436
1992,0.000003,0.000392
1993,0.000002,0.000380
1994,0.000002,0.000372
1995,0.000003,0.000363
1996,0.000002,0.000357
1997,0.000000,0.000325
1998,0.000000,0.000315
1999,0.000000,0.000303
2000,0.000000,0.000288
2001,0.000000,0.000292
2002,0.000000,0.000263
2003,0.000000,0.000251
2004,0.000002,0.000227
2005,0.000000,0.000226
2006,0.000000,0.000217
2007,0.000000,0.000208
2008,0.000000,0.000210
2009,0.000000,0.000191
2010,0.000000,0.000189
2011,0.000000,0.000198
2012,0.000000,0.000198
2013,0.000000,0.000191
2014,0.000000,0.000188
2015,0.000000,0.000188
2016,0.000000,0.000176
2017,0.000000,0.000201
2018,0.000000,0.000187
2019,0.000000,0.000179
2020,0.000000,0.000163
