year,April (F),April (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000003,0.000000
1918,0.000000,0.000000
1919,0.000004,0.000000
1920,0.000004,0.000000
1921,0.000005,0.000000
1922,0.000000,0.000000
1923,0.000003,0.000000
1924,0.000004,0.000000
1925,0.000006,0.000000
1926,0.000006,0.000000
1927,0.000006,0.000000
1928,0.000009,0.000000
1929,0.000005,0.000000
1930,0.000008,0.000000
1931,0.000003,0.000000
1932,0.000007,0.000000
1933,0.000006,0.000000
1934,0.000005,0.000000
1935,0.000007,0.000000
1936,0.000010,0.000000
1937,0.000011,0.000000
1938,0.000009,0.000000
1939,0.000026,0.000000
1940,0.000046,0.000000
1941,0.000072,0.000000
1942,0.000085,0.000000
1943,0.000078,0.000000
1944,0.000061,0.000000
1945,0.000091,0.000000
1946,0.000144,0.000000
1947,0.000142,0.000000
1948,0.000111,0.000000
1949,0.000133,0.000000
1950,0.000112,0.000000
1951,0.000137,0.000000
1952,0.000217,0.000000
1953,0.000213,0.000000
1954,0.000239,0.000000
1955,0.000312,0.000000
1956,0.000294,0.000000
1957,0.000311,0.000000
1958,0.000327,0.000000
1959,0.000376,0.000002
1960,0.000466,0.000001
1961,0.000436,0.000002
1962,0.000450,0.000001
1963,0.000554,0.000001
1964,0.000669,0.000000
1965,0.000776,0.000001
1966,0.000935,0.000004
1967,0.001315,0.000004
1968,0.001072,0.000002
1969,0.001093,0.000004
1970,0.001275,0.000004
1971,0.001730,0.000006
1972,0.001947,0.000005
1973,0.002407,0.000007
1974,0.002780,0.000007
1975,0.002730,0.000010
1976,0.002557,0.000009
1977,0.002540,0.000008
1978,0.003021,0.000009
1979,0.003277,0.000011
1980,0.003331,0.000013
1981,0.003296,0.000007
1982,0.002868,0.000011
1983,0.002370,0.000007
1984,0.002168,0.000005
1985,0.001875,0.000007
1986,0.001596,0.000009
1987,0.001469,0.000007
1988,0.001310,0.000005
1989,0.001232,0.000007
1990,0.001157,0.000003
1991,0.000990,0.000002
1992,0.000841,0.000003
1993,0.000778,0.000004
1994,0.000678,0.000003
1995,0.000567,0.000000
1996,0.000483,0.000000
1997,0.000442,0.000000
1998,0.000452,0.000000
1999,0.000421,0.000001
2000,0.000384,0.000000
2001,0.000347,0.000000
2002,0.000335,0.000000
2003,0.000294,0.000000
2004,0.000309,0.000001
2005,0.000274,0.000000
2006,0.000261,0.000000
2007,0.000274,0.000000
2008,0.000260,0.000000
2009,0.000239,0.000000
2010,0.000227,0.000000
2011,0.000217,0.000000
2012,0.000215,0.000000
2013,0.000197,0.000000
2014,0.000214,0.000000
2015,0.000217,0.000000
2016,0.000225,0.000000
2017,0.000194,0.000000
2018,0.000187,0.000000
2019,0.000183,0.000000
2020,0.000175,0.000000
