year,Alejandro (F),Alejandro (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000014
1902,0.000000,0.000016
1903,0.000000,0.000021
1904,0.000000,0.000020
1905,0.000000,0.000017
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000016
1909,0.000000,0.000022
1910,0.000000,0.000012
1911,0.000000,0.000000
1912,0.000000,0.000009
1913,0.000000,0.000012
1914,0.000000,0.000016
1915,0.000000,0.000013
1916,0.000000,0.000016
1917,0.000000,0.000021
1918,0.000000,0.000017
1919,0.000000,0.000019
1920,0.000000,0.000030
1921,0.000000,0.000030
1922,0.000000,0.000028
1923,0.000000,0.000030
1924,0.000000,0.000024
1925,0.000000,0.000037
1926,0.000000,0.000029
1927,0.000000,0.000038
1928,0.000000,0.000035
1929,0.000000,0.000038
1930,0.000000,0.000046
1931,0.000000,0.000042
1932,0.000002,0.000039
1933,0.000000,0.000041
1934,0.000000,0.000037
1935,0.000000,0.000039
1936,0.000000,0.000030
1937,0.000000,0.000035
1938,0.000000,0.000027
1939,0.000000,0.000029
1940,0.000000,0.000037
1941,0.000000,0.000030
1942,0.000000,0.000022
1943,0.000000,0.000024
1944,0.000000,0.000035
1945,0.000000,0.000033
1946,0.000000,0.000033
1947,0.000000,0.000033
1948,0.000000,0.000039
1949,0.000000,0.000033
1950,0.000000,0.000033
1951,0.000000,0.000040
1952,0.000000,0.000046
1953,0.000000,0.000040
1954,0.000000,0.000040
1955,0.000000,0.000039
1956,0.000000,0.000043
1957,0.000000,0.000051
1958,0.000000,0.000050
1959,0.000000,0.000050
1960,0.000000,0.000049
1961,0.000000,0.000059
1962,0.000000,0.000061
1963,0.000000,0.000066
1964,0.000000,0.000077
1965,0.000000,0.000078
1966,0.000000,0.000090
1967,0.000000,0.000092
1968,0.000001,0.000125
1969,0.000001,0.000148
1970,0.000000,0.000163
1971,0.000002,0.000198
1972,0.000000,0.000223
1973,0.000004,0.000252
1974,0.000003,0.000286
1975,0.000002,0.000339
1976,0.000004,0.000354
1977,0.000003,0.000341
1978,0.000003,0.000348
1979,0.000004,0.000372
1980,0.000007,0.000378
1981,0.000003,0.000428
1982,0.000007,0.000426
1983,0.000007,0.000385
1984,0.000005,0.000377
1985,0.000006,0.000409
1986,0.000007,0.000458
1987,0.000005,0.000439
1988,0.000007,0.000434
1989,0.000008,0.000542
1990,0.000010,0.000667
1991,0.000006,0.000715
1992,0.000016,0.000827
1993,0.000013,0.000937
1994,0.000010,0.000933
1995,0.000009,0.000964
1996,0.000009,0.001008
1997,0.000008,0.001103
1998,0.000007,0.001100
1999,0.000005,0.001170
2000,0.000008,0.001194
2001,0.000005,0.001218
2002,0.000005,0.001166
2003,0.000005,0.001136
2004,0.000004,0.001166
2005,0.000003,0.001166
2006,0.000003,0.001151
2007,0.000003,0.001072
2008,0.000002,0.001061
2009,0.000002,0.000902
2010,0.000002,0.001006
2011,0.000001,0.000846
2012,0.000001,0.000748
2013,0.000000,0.000681
