year,Kathleen (F),Kathleen (M)
1880,0.000104,0.000000
1881,0.000067,0.000000
1882,0.000099,0.000000
1883,0.000097,0.000000
1884,0.000111,0.000000
1885,0.000158,0.000000
1886,0.000168,0.000000
1887,0.000202,0.000000
1888,0.000224,0.000000
1889,0.000301,0.000000
1890,0.000348,0.000000
1891,0.000394,0.000000
1892,0.000446,0.000000
1893,0.000523,0.000000
1894,0.000496,0.000000
1895,0.000547,0.000000
1896,0.000725,0.000000
1897,0.000721,0.000000
1898,0.000802,0.000000
1899,0.000678,0.000000
1900,0.000713,0.000000
1901,0.000787,0.000000
1902,0.000840,0.000000
1903,0.000923,0.000000
1904,0.000897,0.000000
1905,0.000911,0.000000
1906,0.000962,0.000000
1907,0.000945,0.000000
1908,0.001078,0.000000
1909,0.001031,0.000000
1910,0.001053,0.000000
1911,0.001029,0.000000
1912,0.000997,0.000000
1913,0.001037,0.000000
1914,0.001041,0.000000
1915,0.001059,0.000003
1916,0.001114,0.000004
1917,0.001175,0.000000
1918,0.001211,0.000000
1919,0.001226,0.000000
1920,0.001396,0.000000
1921,0.001465,0.000002
1922,0.001514,0.000000
1923,0.001630,0.000004
1924,0.001538,0.000003
1925,0.001501,0.000005
1926,0.001427,0.000002
1927,0.001408,0.000004
1928,0.001394,0.000007
1929,0.001342,0.000009
1930,0.001383,0.000007
1931,0.001331,0.000006
1932,0.001394,0.000006
1933,0.001561,0.000008
1934,0.001579,0.000011
1935,0.001604,0.000007
1936,0.001614,0.000006
1937,0.001757,0.000007
1938,0.001911,0.000009
1939,0.002113,0.000008
1940,0.002474,0.000011
1941,0.002939,0.000012
1942,0.003916,0.000013
1943,0.004306,0.000012
1944,0.004834,0.000010
1945,0.005203,0.000013
1946,0.005871,0.000010
1947,0.006134,0.000013
1948,0.006736,0.000011
1949,0.007564,0.000016
1950,0.007337,0.000011
1951,0.007252,0.000009
1952,0.006784,0.000010
1953,0.006158,0.000009
1954,0.005642,0.000010
1955,0.005481,0.000008
1956,0.005185,0.000010
1957,0.004699,0.000009
1958,0.004647,0.000012
1959,0.004241,0.000012
1960,0.003872,0.000008
1961,0.003718,0.000007
1962,0.003516,0.000007
1963,0.003421,0.000007
1964,0.003404,0.000007
1965,0.003248,0.000009
1966,0.003020,0.000009
1967,0.002712,0.000009
1968,0.002583,0.000010
1969,0.002387,0.000007
1970,0.002053,0.000006
1971,0.001793,0.000005
1972,0.001621,0.000007
1973,0.001408,0.000006
1974,0.001300,0.000008
1975,0.001174,0.000006
1976,0.001123,0.000005
1977,0.001149,0.000005
1978,0.001179,0.000005
1979,0.001096,0.000002
1980,0.001120,0.000003
1981,0.001092,0.000004
1982,0.001126,0.000005
1983,0.001133,0.000006
1984,0.001143,0.000007
1985,0.001145,0.000006
1986,0.001161,0.000004
1987,0.001155,0.000006
1988,0.001063,0.000003
1989,0.000936,0.000007
1990,0.000929,0.000004
1991,0.000866,0.000001
1992,0.000816,0.000000
1993,0.000728,0.000000
1994,0.000653,0.000000
1995,0.000623,0.000000
1996,0.000578,0.000000
1997,0.000481,0.000000
1998,0.000473,0.000000
1999,0.000441,0.000000
2000,0.000419,0.000000
2001,0.000357,0.000000
2002,0.000323,0.000000
2003,0.000288,0.000000
2004,0.000262,0.000000
2005,0.000243,0.000000
2006,0.000222,0.000000
2007,0.000195,0.000000
2008,0.000179,0.000000
2009,0.000142,0.000000
2010,0.000134,0.000000
2011,0.000123,0.000000
2012,0.000117,0.000000
2013,0.000119,0.000000
2014,0.000114,0.000000
2015,0.000092,0.000000
2016,0.000093,0.000000
2017,0.000087,0.000000
2018,0.000087,0.000000
2019,0.000081,0.000000
2020,0.000075,0.000000
