year,Kenny (F),Kenny (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000010
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000009
1913,0.000000,0.000006
1914,0.000000,0.000005
1915,0.000000,0.000005
1916,0.000000,0.000005
1917,0.000000,0.000007
1918,0.000000,0.000006
1919,0.000000,0.000008
1920,0.000000,0.000003
1921,0.000000,0.000006
1922,0.000000,0.000006
1923,0.000000,0.000011
1924,0.000002,0.000013
1925,0.000000,0.000009
1926,0.000000,0.000010
1927,0.000000,0.000017
1928,0.000000,0.000017
1929,0.000000,0.000022
1930,0.000000,0.000026
1931,0.000000,0.000033
1932,0.000000,0.000030
1933,0.000000,0.000037
1934,0.000000,0.000040
1935,0.000000,0.000058
1936,0.000000,0.000064
1937,0.000000,0.000094
1938,0.000000,0.000100
1939,0.000000,0.000129
1940,0.000000,0.000138
1941,0.000003,0.000142
1942,0.000003,0.000147
1943,0.000004,0.000153
1944,0.000002,0.000174
1945,0.000003,0.000196
1946,0.000003,0.000191
1947,0.000003,0.000192
1948,0.000001,0.000179
1949,0.000000,0.000156
1950,0.000001,0.000147
1951,0.000000,0.000132
1952,0.000002,0.000146
1953,0.000002,0.000133
1954,0.000002,0.000143
1955,0.000001,0.000172
1956,0.000002,0.000195
1957,0.000002,0.000256
1958,0.000003,0.000344
1959,0.000003,0.000423
1960,0.000004,0.000467
1961,0.000003,0.000410
1962,0.000003,0.000395
1963,0.000002,0.000367
1964,0.000003,0.000361
1965,0.000002,0.000305
1966,0.000003,0.000266
1967,0.000003,0.000241
1968,0.000002,0.000223
1969,0.000002,0.000195
1970,0.000002,0.000185
1971,0.000002,0.000177
1972,0.000002,0.000159
1973,0.000004,0.000156
1974,0.000000,0.000147
1975,0.000000,0.000119
1976,0.000000,0.000138
1977,0.000000,0.000127
1978,0.000002,0.000136
1979,0.000003,0.000148
1980,0.000000,0.000167
1981,0.000003,0.000183
1982,0.000003,0.000170
1983,0.000002,0.000159
1984,0.000001,0.000151
1985,0.000002,0.000161
1986,0.000003,0.000152
1987,0.000002,0.000150
1988,0.000002,0.000137
1989,0.000002,0.000145
1990,0.000002,0.000131
1991,0.000002,0.000116
1992,0.000003,0.000131
1993,0.000003,0.000151
1994,0.000003,0.000162
1995,0.000002,0.000157
1996,0.000003,0.000156
1997,0.000002,0.000153
1998,0.000002,0.000125
1999,0.000002,0.000139
2000,0.000000,0.000150
2001,0.000002,0.000137
2002,0.000003,0.000147
2003,0.000000,0.000139
2004,0.000003,0.000136
2005,0.000002,0.000144
2006,0.000002,0.000132
2007,0.000001,0.000131
2008,0.000002,0.000125
2009,0.000000,0.000106
2010,0.000000,0.000104
2011,0.000000,0.000089
2012,0.000000,0.000085
2013,0.000001,0.000078
2014,0.000000,0.000072
2015,0.000000,0.000067
2016,0.000000,0.000066
2017,0.000001,0.000061
2018,0.000000,0.000059
2019,0.000000,0.000073
2020,0.000000,0.000054
